Path Cost Cserna,Probability Cserna,CDF Cserna
0.0740897,0.01,0.01
0.0840897,0.01,0.02
0.0940897,0.01,0.03
0.10409,0.01,0.04
0.11409,0.01,0.05
0.12409,0.01,0.06
0.13409,0.01,0.07
0.14409,0.01,0.08
0.15409,0.01,0.09
0.16409,0.01,0.1
0.17409,0.01,0.11
0.18409,0.01,0.12
0.19409,0.01,0.13
0.20409,0.01,0.14
0.21409,0.01,0.15
0.22409,0.01,0.16
0.23409,0.01,0.17
0.24409,0.01,0.18
0.25409,0.01,0.19
0.26409,0.01,0.2
0.27409,0.01,0.21
0.28409,0.01,0.22
0.29409,0.01,0.23
0.30409,0.01,0.24
0.31409,0.01,0.25
0.32409,0.01,0.26
0.33409,0.01,0.27
0.34409,0.01,0.28
0.35409,0.01,0.29
0.36409,0.01,0.3
0.37409,0.01,0.31
0.38409,0.01,0.32
0.39409,0.01,0.33
0.40409,0.01,0.34
0.41409,0.01,0.35
0.42409,0.01,0.36
0.43409,0.01,0.37
0.44409,0.01,0.38
0.45409,0.01,0.39
0.46409,0.01,0.4
0.47409,0.01,0.41
0.48409,0.01,0.42
0.49409,0.01,0.43
0.50409,0.01,0.44
0.51409,0.01,0.45
0.52409,0.01,0.46
0.53409,0.01,0.47
0.54409,0.01,0.48
0.55409,0.01,0.49
0.56409,0.01,0.5
0.57409,0.01,0.51
0.58409,0.01,0.52
0.59409,0.01,0.53
0.60409,0.01,0.54
0.61409,0.01,0.55
0.62409,0.01,0.56
0.63409,0.01,0.57
0.64409,0.01,0.58
0.65409,0.01,0.59
0.66409,0.01,0.6
0.67409,0.01,0.61
0.68409,0.01,0.62
0.69409,0.01,0.63
0.70483,0.0136,0.6436
0.71482,0.0134,0.657
0.72481,0.0132,0.6702
0.734799,0.013,0.6832
0.744789,0.0128,0.696
0.754778,0.0126,0.7086
0.764766,0.0124,0.721
0.774754,0.0122,0.7332
0.784742,0.012,0.7452
0.794729,0.0118,0.757
0.804716,0.0116,0.7686
0.814703,0.0114,0.78
0.824689,0.0112,0.7912
0.834674,0.011,0.8022
0.844659,0.0108,0.813
0.854644,0.0106,0.8236
0.864627,0.0104,0.834
0.87461,0.0102,0.8442
0.884593,0.01,0.8542
0.894575,0.0098,0.864
0.904556,0.0096,0.8736
0.914536,0.0094,0.883
0.924515,0.0092,0.8922
0.934494,0.009,0.9012
0.944471,0.0088,0.91
0.954447,0.0086,0.9186
0.964423,0.0084,0.927
0.974397,0.0082,0.9352
0.984369,0.008,0.9432
0.994341,0.0078,0.951
1.00431,0.0076,0.9586
1.01428,0.0074,0.966
1.02425,0.0072,0.9732
1.03421,0.007,0.9802
1.04417,0.0068,0.987
1.05413,0.0066,0.9936
1.06409,0.0064,1